model,start,end,n,mae,rmse,wape,median_ae,bias
robust_ridge_core,2025-05-01,2025-07-01,9696,97.55319283462144,629.9870805455863,0.039673529917018,29.59350843363677,-52.28369436998451
robust_ridge_market,2025-05-01,2025-07-01,9696,176.2776000014525,657.7170047046875,0.071689653963594,87.4446226209651,-152.05249168345085
catboost_core,2025-05-01,2025-07-01,9696,144.35068606425236,646.2280166531574,0.0587054210703366,59.22255047938245,-117.9728128304654
catboost_market,2025-05-01,2025-07-01,9696,137.0736750487893,643.3644866453128,0.0557459616632224,56.26472408628956,-109.57578482836612
catboost_signal,2025-05-01,2025-07-01,9696,168.31395271364067,648.9430809419405,0.068450949112004,64.89944355307443,-90.3512236061516
median_rpm,2025-05-01,2025-07-01,9696,241.79129887075257,671.8437655161551,0.0983331662520329,154.03083037425537,-82.60502481755763
quote_times_distance,2025-05-01,2025-07-01,9696,245.27090496998764,713.3497685419583,0.0997482737709787,59.6241500000001,-76.89367648710808
robust_ridge_core,2025-07-01,2025-09-01,9671,356.58587055881435,717.3374154010527,0.1499903557472121,237.3765680351935,277.0067222265968
robust_ridge_market,2025-07-01,2025-09-01,9671,348.3623206406291,709.6828139347355,0.146531292224026,233.66471161405525,268.63824326380376
catboost_core,2025-07-01,2025-09-01,9671,175.63547743020257,630.9202535386635,0.0738773740538395,96.3185100972953,92.5367098174344
catboost_market,2025-07-01,2025-09-01,9671,133.48388892770586,627.3180024762991,0.0561471938173324,55.84407758319389,45.59819841194808
catboost_signal,2025-07-01,2025-09-01,9671,177.17995842384556,639.0703865806489,0.0745270275393191,90.42388932995482,-1.5550800405399443
median_rpm,2025-07-01,2025-09-01,9671,249.0120064390102,674.7181174548526,0.1047416695804101,135.52604231832402,39.99699954020552
quote_times_distance,2025-07-01,2025-09-01,9671,367.2926189754937,753.957462450645,0.1544939245549077,242.48275000000007,-59.617418375555786
robust_ridge_simple_core,2025-05-01,2025-07-01,9696,110.41340973878256,634.7669687904704,0.044903601688749,36.67681470187358,-69.77524549914516
robust_ridge_simple_market,2025-05-01,2025-07-01,9696,119.31895946123632,637.6518815519867,0.0485253651910489,42.1071685689418,-82.5125435167091
robust_ridge_simple_core,2025-07-01,2025-09-01,9671,137.64008554927275,623.4926889111875,0.0578954106180913,63.53568947657891,51.20313084188617
robust_ridge_simple_market,2025-07-01,2025-09-01,9671,128.96051838068632,622.1540624035101,0.0542445330179555,56.69197551981984,41.82420076042543
