pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,790.65
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,796.46
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,803.24
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,806.14
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,801.84
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,793.46
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,788.16
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,789.32
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,795.19
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,802.02
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,804.98
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,800.73
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,792.42
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,787.17
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,788.39
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,794.31
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,801.20
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,804.22
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,800.03
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,791.77
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,786.58
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,787.86
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,793.84
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,800.79
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,803.86
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,799.74
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,791.53
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,786.40
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,787.74
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,793.78
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,800.79
